LA,LL,RA,V1,V2,V3,V4,V5,V6
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4,1277529.4
