Lead I,Lead II,Lead III,aVR,aVL,aVF,V1',V2',V3',V4',V5',V6'
1.3957580871088013,-2.446351049,-3.842125422,0.525296481,2.618941755,-3.144238236,1287.689804176178,1285.744625619258,2561.9840849006478,77.29968293,81.45200907724119,233.90878686922565
1.4183418758308377,-2.402119108,-3.820559023,0.491888616,2.61945045,-3.111339066,1288.6381085467299,1287.9618504195237,2563.7041632931587,77.50095741,81.54221290693121,233.93140546184588
1.404650413815452,-2.411399728,-3.816121237,0.503374657,2.610385825,-3.113760482,1288.5286480451389,1288.219610354849,2563.274378331642,76.81966918061107,80.80917255,233.20320653585622
1.3812199717942364,-2.433290516,-3.814545222,0.526035272,2.597882597,-3.123917869,1288.1536989966662,1287.9486253886882,2563.2123888863125,77.88241234670565,81.74438527955691,234.22839921244363
1.3552001878226898,-2.471708934,-3.826991749,0.558254373,2.591095968,-3.149350341,1288.3917803223237,1287.977291411994,2563.342484876926,80.28290992522274,84.02232694,236.50972379541378
1.334866559318609,-2.546565722,-3.881509432,0.605849581,2.608187996,-3.214037577,1288.0269449075467,1287.4976123476833,2563.2706683262422,82.02229287366266,85.80437604783171,238.22223764637235
1.3505615160806939,-2.496654208,-3.847343779,0.573046346,2.598952648,-3.171998993,1287.8530827088257,1286.9211532762251,2563.260563822555,80.47633189851115,84.41061417228258,236.73899151356716
1.3714112943882866,-2.406737513,-3.778285124,0.517663109,2.574848209,-3.092511318,1288.3886333465143,1287.5970763799337,2563.4952930112363,78.41337544822358,82.43571456397694,234.70556852918673
1.3697293497249712,-2.40512427,-3.774934297,0.51769746,2.572331823,-3.090029284,1288.0683610788826,1287.9408132270455,2563.4425377647935,78.18995632984907,82.18523655,234.37616676815927
1.3676013775997031,-2.423743444,-3.79144666,0.528071033,2.579524019,-3.107595052,1288.2500767728486,1287.528979031601,2563.489735342864,77.09808582599659,81.0922455,233.1872341264465
1.387449110064587,-2.428880604,-3.816403769,0.520715747,2.601926439,-3.122642186,1288.4775729495218,1287.2556070834844,2563.348672343075,77.01589470844776,81.01638196752626,233.16293519384237
1.3821567340013703,-2.437464321,-3.819673327,0.527653793,2.600915031,-3.128568824,1288.2854002471518,1287.6012351312747,2563.4257004060996,78.10548266667584,82.14624099190448,234.3393036762367
1.3854324374827292,-2.471229897,-3.856748249,0.54289873,2.621090343,-3.163989073,1288.2262092011943,1287.5576859054054,2563.638029537964,79.47657348817984,83.50949277,235.58743497432604
