Lead I,Lead II,Lead III,aVR,aVL,aVF,V1',V2',V3',V4',V5',V6'
0.35045223685071264,-3.416086936,-3.766538506,1.53281735,2.058495372,-3.591312721,0,0,0,0,0,0
0.3863697186233949,-3.374318172,-3.760767947,1.493974226,2.073568833,-3.567543059,0,0,0,0,0,0
0.3945532189811336,-3.346908889,-3.741502455,1.476177835,2.068027837,-3.544205672,0,0,0,0,0,0
0.34423014960619136,-3.316191958,-3.660454875,1.485980904,2.002342512,-3.488323416,0,0,0,0,0,0
0.33742251639249904,-3.339117472,-3.676596754,1.500847478,2.007009635,-3.507857113,0,0,0,0,0,0
0.35159224821957746,-3.410514868,-3.762193935,1.52946131,2.056893092,-3.586354402,0,0,0,0,0,0
0.3299550282834538,-3.430050026,-3.760086662,1.550047499,2.045020845,-3.595068344,0,0,0,0,0,0
0.32110188660873684,-3.433046742,-3.754210477,1.555972428,2.037656182,-3.593628609,0,0,0,0,0,0
0.34710096360077114,-3.398138922,-3.745315925,1.525518979,2.046208445,-3.571727424,0,0,0,0,0,0
0.36507537963684894,-3.35394852,-3.719106566,1.49443657,2.042090973,-3.536527543,0,0,0,0,0,0
0.3735133319525932,-3.379022374,-3.752611641,1.502754521,2.063062487,-3.565817008,0,0,0,0,0,0
0.37338444139942345,-3.351369997,-3.724840817,1.488992778,2.049112629,-3.538105407,0,0,0,0,0,0
0.32454241123481004,-3.323724358,-3.648320268,1.499590973,1.98643134,-3.486022313,0,0,0,0,0,0
0.3215716669330178,-3.335504373,-3.657156242,1.506966353,1.989363954,-3.496330308,0,0,0,0,0,0
0.3336508487085615,-3.347643713,-3.681411383,1.506996432,2.007531116,-3.514527548,0,0,0,0,0,0
0.3221928771416304,-3.382662853,-3.7049124,1.530234988,2.013552638,-3.543787627,0,0,0,0,0,0
0.28013748762438434,-3.367343064,-3.647505125,1.543602788,1.963821306,-3.507424095,0,0,0,0,0,0
0.27667555632203766,-3.301145336,-3.577874561,1.51223489,1.927275059,-3.439509949,0,0,0,0,0,0
0.32912727760537636,-3.268700326,-3.597897964,1.469786524,1.963512621,-3.433299145,0,0,0,0,0,0
0.35949334116760623,-3.246373403,-3.605957327,1.443440031,1.982725334,-3.426165365,0,0,0,0,0,0
0.34584514997401494,-3.246272521,-3.59219014,1.450213686,1.969017645,-3.419231331,0,0,0,0,0,0
0.28355871465636695,-3.256865155,-3.540461526,1.48665322,1.91201012,-3.398663341,0,0,0,0,0,0
0.27870151667851023,-3.264109424,-3.542887548,1.492703954,1.910794532,-3.403498486,0,0,0,0,0,0
0.2632471857359661,-3.309355812,-3.572686596,1.523054313,1.917966891,-3.441021204,0,0,0,0,0,0
0.2616098485455527,-3.320846153,-3.582530304,1.529618152,1.922070076,-3.451688229,0,0,0,0,0,0
0.2925679780178082,-3.240907563,-3.533557748,1.474169792,1.913062863,-3.387232655,0,0,0,0,0,0
0.29110194468534306,-3.194529118,-3.485715841,1.451713587,1.888408893,-3.340122479,0,0,0,0,0,0
0.300335362,-3.204643835,-3.505055602,1.452154237,1.902695482,-3.354849719,0,0,0,0,0,0
0.30769863659151714,-3.192285275,-3.500092541,1.442293319,1.903895589,-3.346188908,0,0,0,0,0,0
0.2869722964012462,-3.190547668,-3.477618619,1.451787686,1.882295458,-3.334083143,0,0,0,0,0,0
0.2652500276214928,-3.19866907,-3.464006348,1.466709521,1.864628188,-3.331337709,0,0,0,0,0,0
0.284717519,-3.190426401,-3.475233327,1.452854441,1.879975423,-3.332829864,0,0,0,0,0,0
0.29383134305057296,-3.198730026,-3.492622715,1.452449341,1.893227029,-3.345676371,0,0,0,0,0,0
0.2604109079712077,-3.193145023,-3.453596905,1.466367058,1.857003906,-3.323370964,0,0,0,0,0,0
