Lead I,Lead II,Lead III
1.3957580871088013,-2.446351049,-3.842125422
1.4183418758308377,-2.402119108,-3.820559023
1.404650413815452,-2.411399728,-3.816121237
1.3812199717942364,-2.433290516,-3.814545222
1.3552001878226898,-2.471708934,-3.826991749
1.334866559318609,-2.546565722,-3.881509432
1.3505615160806939,-2.496654208,-3.847343779
1.3714112943882866,-2.406737513,-3.778285124
1.3697293497249712,-2.40512427,-3.774934297
1.3676013775997031,-2.423743444,-3.79144666
1.387449110064587,-2.428880604,-3.816403769
1.3821567340013703,-2.437464321,-3.819673327
1.3854324374827292,-2.471229897,-3.856748249
1.4070158338496133,-2.508908122,-3.916000761
1.4025686988941881,-2.503201028,-3.905837792
1.3932198886770408,-2.459379749,-3.85269184
1.3243244866259103,-2.441494438,-3.765899157
1.3210522678913479,-2.443046349,-3.764150164
1.348314533711951,-2.443890182,-3.792261251
1.3282786962202242,-2.43430084,-3.76263206
1.3137091230016211,-2.467626272,-3.78139669
1.3047219948304263,-2.529081486,-3.833850418
1.3217128867237933,-2.517714045,-3.8395026
1.352352164403443,-2.480638776,-3.833069792
1.3784755578911545,-2.451505819,-3.830039465
1.4345775992948042,-2.395202664,-3.829854694
1.4348637978156915,-2.385917129,-3.820889292
1.3519803097910936,-2.427757483,-3.779869292
1.327200187558896,-2.465844015,-3.793145482
1.29745098,-2.492777226,-3.790301828
1.2644783259362133,-2.529855676,-3.794421246
1.2796694647890507,-2.490726625,-3.770481204
1.313269549576073,-2.431149661,-3.744517699
1.331598182,-2.455550184,-3.787235863
1.3491448071694294,-2.470618739,-3.819862917
1.3512584886021088,-2.449870848,-3.8012263
1.2992374312139632,-2.465823162,-3.765134532
1.2833009526103047,-2.494140276,-3.777531032
1.3046583934744815,-2.53695169,-3.841688745
1.291207176222535,-2.524928848,-3.816221358
1.3015006903846054,-2.457668458,-3.759274619
1.3467107953048723,-2.473032068,-3.819801317
1.3507298374061543,-2.547945457,-3.898762228
1.2851892981921273,-2.553645369,-3.83888902
1.2407615544362736,-2.528025869,-3.768834864
1.2451779080141432,-2.50646583,-3.751730449
1.2343793949436865,-2.530808442,-3.765247731
1.2231162244663898,-2.558635136,-3.781846299
1.217214223851002,-2.520143134,-3.737448173
1.2134704567354837,-2.46854969,-3.682032773
1.2308771761663133,-2.486380155,-3.717302144
1.2144551109497668,-2.507676244,-3.722201866
1.1786426290015353,-2.511591095,-3.690309856
1.2194433823915478,-2.51718858,-3.736760305
1.2392173287617896,-2.557587266,-3.796906388
1.1984085625317062,-2.599459255,-3.797953892
1.1928911990087694,-2.577000661,-3.769978901
1.1818900300318935,-2.538620683,-3.720586907
1.1824651039686342,-2.547890197,-3.730469365
1.2126419079464417,-2.550144443,-3.762897271
1.2324103688950618,-2.48974078,-3.722224334
1.2227128170873305,-2.475715909,-3.69849501
1.2286666313657884,-2.522446384,-3.75121696
1.2217607888380693,-2.566462798,-3.788347321
1.2301938136445236,-2.514663924,-3.744917964
1.2716248293676666,-2.454340673,-3.726025709
1.2961049868926477,-2.469162485,-3.765337891
1.2679222786284463,-2.472193524,-3.740157884
1.2352015544485961,-2.473633126,-3.708887096
1.2520092992043201,-2.506627783,-3.758716318
1.2455219310465075,-2.533836885,-3.779433584
1.235184295,-2.550677296,-3.785933001
1.2562114002483062,-2.536623616,-3.792906921
1.2872525778556407,-2.4954352,-3.782742398
1.328124595073122,-2.483046066,-3.811224141
1.3389433239064659,-2.466483625,-3.805514936
1.343743445905421,-2.445412618,-3.789230981
1.348842184530598,-2.4653093,-3.814236347
1.335058721019525,-2.487403127,-3.822573413
1.3320952343756687,-2.488994354,-3.821184552
1.346207559326772,-2.510758841,-3.857064632
1.3618851417252753,-2.48967133,-3.851652314
1.3817067426089074,-2.464545797,-3.846326253
1.3162494177749964,-2.482603968,-3.798928376
1.3065082576750482,-2.451295352,-3.757892958
1.3583008264505556,-2.449401259,-3.80778717
1.3434000289492065,-2.477446688,-3.820900385
1.335851174923245,-2.503860709,-3.839766063
1.3236056315408367,-2.538733546,-3.862403217
1.3248705768590445,-2.512532825,-3.837459303
1.348648735460122,-2.441280086,-3.790001228
1.3363193421645037,-2.400823333,-3.737202734
1.3654711330081317,-2.425254024,-3.790768032
1.422976454108885,-2.464579457,-3.887603355
1.4277504504955496,-2.447977998,-3.875803551
1.4169293514912655,-2.449213779,-3.866236996
1.4318230142710449,-2.498663486,-3.930571472
1.4036653275781137,-2.50409508,-3.907847766
1.358904580695555,-2.463604309,-3.822576778
1.3582634650519567,-2.425297359,-3.783623031
1.3722365890370194,-2.441124368,-3.813460978
1.4031366649207924,-2.45060203,-3.853809291
1.4371655936302183,-2.436833315,-3.874022023
1.3887060565618468,-2.484119149,-3.872882548
1.3241096388375106,-2.524144676,-3.848323989
1.3132711708492528,-2.510164497,-3.823494093
1.3115957841115065,-2.481833505,-3.793508587
1.3301299477767363,-2.459293154,-3.78947216
1.3631302764141806,-2.475118902,-3.83828611
1.3612302366852977,-2.520149399,-3.881460787
1.3433385951785801,-2.500349363,-3.843742791
1.3568008228047934,-2.473240379,-3.830095747
1.3471909016798802,-2.509133406,-3.856418038
1.3336832780149526,-2.512071705,-3.845852026
1.3420033537126836,-2.420204632,-3.762269202
1.3631809297116773,-2.277677143,-3.640898837
1.3830243154839459,-2.19125333,-3.574330972
1.3491163574993896,-2.139572453,-3.488768817
1.233995664454833,-2.119344935,-3.353421178
1.0949500531134646,-2.153403987,-3.248449967
0.9352501330828882,-2.180057451,-3.115397008
0.7562312608172364,-2.238322051,-2.994630331
0.5589484116741437,-2.331969413,-2.891008693
0.31362878694865176,-2.390775527,-2.704464083
0.2856331985727535,-2.299063556,-2.584743041
0.42640454951465545,-2.128586697,-2.555080768
0.5222889065019387,-2.055740359,-2.578131565
0.6271646369465571,-2.022630085,-2.649891406
0.7591610050808911,-1.979562317,-2.738825079
0.9285300222793113,-1.942884911,-2.871511486
1.1176762385491785,-1.979784283,-3.097546214
1.2639318721292492,-2.017526502,-3.281584036
1.3809502241272062,-2.052205081,-3.433262462
1.4954177390741772,-2.172377211,-3.667863152
1.5340812085769837,-2.323252518,-3.857410875
1.5446529717482156,-2.421698523,-3.966442244
1.6026574995413854,-2.481754934,-4.08448934
1.7129718769044122,-2.494596087,-4.207655893
1.7169965738349557,-2.515296268,-4.232354799
1.662554536933131,-2.54602321,-4.208623018
1.6629472886471452,-2.548599747,-4.21164153
1.6637324793074253,-2.564422388,-4.228253584
1.6650278810220203,-2.577890311,-4.242965094
1.6530602234469212,-2.574131702,-4.227261196
1.6376663362090729,-2.55667275,-4.194432015
1.5910988788111604,-2.553116292,-4.144276062
1.5567779365545427,-2.564238138,-4.121079389
1.5462973790276597,-2.510360856,-4.056730573
1.5289100249824759,-2.443661182,-3.972644809
1.518805755018758,-2.413356956,-3.932257965
1.4383290540465443,-2.412228517,-3.85066813
1.3843380195927282,-2.406775455,-3.791202614
1.401899396375103,-2.393175366,-3.795137054
1.3899044823079405,-2.420811607,-3.810783184
1.3428354276170575,-2.471863613,-3.81475763
1.325241331559702,-2.4964463,-3.821734626
1.336970992689416,-2.445800814,-3.782850379
1.369760829415141,-2.366810679,-3.736654356
1.374177225183143,-2.36679282,-3.741081892
1.3834053229890628,-2.36596253,-3.749467301
1.4108032085914686,-2.378963538,-3.789821619
1.3792611436002495,-2.430352058,-3.809675289
1.3196151319410028,-2.435250556,-3.754924945
1.2890335139392677,-2.475675901,-3.76478446
1.281364114124734,-2.458718316,-3.740166196
1.3234655544798575,-2.379657476,-3.703155372
1.3508188425311258,-2.380485235,-3.731368271
1.3410713142770256,-2.392337916,-3.733515599
1.3350544676116138,-2.373532546,-3.708656835
1.3051773825076343,-2.38737846,-3.692613777
1.3175564040818217,-2.401822033,-3.719477157
1.327350113999973,-2.452509934,-3.779986526
1.2889584363765954,-2.473647674,-3.762717613
1.3221406038265946,-2.428651764,-3.7508538
1.3706566099735493,-2.391080419,-3.761778207
1.352380007897857,-2.362479689,-3.714922306
