I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.4408814103461118,-0.06547556865950534,0.26624837054887857,0.557795307989394,-0.3358633220632485,0.17437537728445476,0.004675894151121513,-0.0593222588599818,0.004744494202955978,0.0031623352736655547,-0.04148152747688699,-0.27588928601100365
-0.4997402937381215,-0.0595723229309698,0.3091852384573656,0.6257872289342121,-0.3944937322429991,0.18359288572660598,0.009038170186953774,-0.08438526736621707,0.008565877684984681,-0.022492792512493198,-0.09685468086149435,-0.29725491096865597
-0.47256513861066535,-0.08605740116836692,0.2773682871139253,0.47197692509501643,-0.33669174826382076,0.17435265588972274,-0.0035748032138162213,-0.07879548429885769,-0.0024220313494996643,0.010083539990486452,-0.09416503608106798,-0.2481142766031745
-0.4426914595335286,-0.10946131004097401,0.2452746779719584,0.3245119295501674,-0.2811437100802175,0.16988533467714836,-0.010981367527949435,-0.06657191647627074,-0.008600433758285574,0.06446992640548878,-0.06280604076480144,-0.17321474647766635
-0.430575451911217,-0.09373337181612676,0.24498848182287442,0.2919720013012714,-0.28338757316922514,0.17465070380003567,-0.0015715939030528528,-0.06280352109530306,-0.0002059031625257574,0.0956126254562095,-0.034145550788338905,-0.10868562434083981
-0.39392062874149364,-0.002304552067895097,0.2662549346092815,0.3634537915039204,-0.33586487271678783,0.1743931041743087,0.025689259836706686,-0.07364683656780513,0.02266581229979254,0.04991421348738406,-0.04147524797916725,-0.08203929283713628
-0.3600532887376994,0.08138522482884175,0.28550732377110283,0.3226686734157681,-0.3404129395476344,0.22638607211582865,0.026478642757181925,-0.073693156979808,0.014193248547701808,0.019925279931201592,-0.023057481167169762,-0.12979138725615044
-0.3395191799699126,0.12858355004926197,0.29539152720311934,0.23700706063874355,-0.33001596318549425,0.25862159365650084,0.030932866979533374,-0.07732550670992692,0.004248880377732627,0.048029162078582814,-0.003574855059638861,-0.12482586941110344
-0.31311849808586856,0.12538748766903804,0.27585580875673127,0.1857119826783584,-0.30498773560759335,0.23631653102603567,0.04004046652820205,-0.08333008776778747,0.002940510070432403,0.08049352622425697,-0.0009199969947035804,-0.10329304627254642
-0.28851780246960734,0.07498998831055693,0.23371641107480534,0.20060905497613252,-0.27475298186658853,0.17292033336925353,0.048886536257525,-0.08569167373093514,0.011568322289565424,0.08487096187407281,-0.010434959280775135,-0.09966044059003837
-0.30007488299506396,-0.0023361363526092317,0.20253057502840105,0.2663421242283916,-0.25782477003068494,0.12984905151021178,0.04671036997875721,-0.07363447420286727,0.022678215069645503,0.0499112589076475,-0.0050536533202130895,-0.1466235736768332
-0.36051267797699443,-0.00680960143747881,0.2413015163101401,0.32243734973363003,-0.30673076382676684,0.1568301716327073,0.058856998305647744,-0.05552822622751853,0.03663059518295348,0.03058390094588674,0.018973869225644247,-0.11505046007325104
-0.3989681495841052,-0.014234815558875728,0.26365952859175934,0.4011931181487902,-0.3320433325906104,0.17262016115896853,0.06440575273351301,-0.04349992439122585,0.03219897621855054,0.03189487058234117,0.03120491848395031,-0.07911794264834299
-0.43415838356366243,-0.044916889726221994,0.27206164241455605,0.5111934170034,-0.34239863400429427,0.178343237216188,0.053996965420545245,-0.04424012338828929,0.015149080116081562,0.04388061795865153,0.03286776303508298,-0.07570768376114093
-0.47783295889842287,-0.0807043366101749,0.2836464537716784,0.6200645389554942,-0.3587090562489219,0.1861261515987302,0.03386815266759772,-0.05700142162707273,-0.0010344814966859643,0.05455082423165115,0.029587922678999245,-0.10817523979302597
-0.5347630464096368,-0.06542681385413068,0.330005761816208,0.6548426961421538,-0.41394834904919725,0.21893078613415307,0.025702662479099345,-0.0736398297288282,0.004758516651898729,0.049905033208072526,0.03134483529709867,-0.14668868917296762
-0.5182708364339107,-0.01776086579955448,0.3428699094672605,0.5409710698677709,-0.42678136594473803,0.2293769261559787,0.03906910683180053,-0.06680491695971752,0.01846779756824999,0.03093346894911146,0.034652269708546506,-0.18930119682457658
-0.46503173245898777,-0.009313321646768586,0.3109918691160617,0.43967800556019615,-0.3941744047237739,0.2036446889418432,0.04606144990447162,-0.056327508292474945,0.02098351128676502,0.03458848399607394,0.02254133367128384,-0.2085117347805049
-0.41265741599227823,-0.000786729401605586,0.27974079801961443,0.37715931599835895,-0.35260401517012707,0.18367939937784808,0.04827082930633781,-0.04731218752510599,0.02303765922340143,0.04364246041334813,0.004196220881635222,-0.2157575193154523
-0.38532685817130974,0.024481020435968618,0.27394135678378856,0.357610978166905,-0.3279990612722549,0.18939143941336095,0.05191143985977528,-0.04304296421242091,0.029729169306960627,0.049071984809271066,-0.009310502363026833,-0.22967412769565906
-0.3939801509772345,0.060760727572635995,0.2981284771300579,0.3635497743798744,-0.3359036037552072,0.21892384339003054,0.0677375337965279,-0.045022708454576836,0.040581835563473743,0.04995201996660471,-0.005064336133995174,-0.2759072883425002
-0.4291579953332659,0.025073996642296037,0.3039960191270404,0.42373293865106554,-0.3654401543839161,0.22166768127856892,0.0841271425876842,-0.06336239784982042,0.03246311727626388,0.07017638746606862,-0.0008837480667722691,-0.2891074979123488
-0.42075593431737013,-0.0022642759488995514,0.2844927713289889,0.4458514279260153,-0.3580798844410933,0.2120945233711157,0.0834932981903851,-0.07045492457031069,0.017766605664302992,0.0556287751723896,-0.013939171777065135,-0.2558076235903342
-0.3729598147373073,-0.0077528086599090796,0.2492753259009219,0.3948360994743242,-0.31824501790549387,0.18472643334510827,0.07305997233363457,-0.0652121953077532,0.007578762691855678,0.02207387367548782,-0.03354741316498723,-0.22585927283075585
-0.3148706977154224,0.0013973892198932479,0.2144594606387277,0.3025013501117586,-0.27022281109643026,0.14916566106338622,0.059041101320148504,-0.05865849420785855,0.004889632290695045,-0.010955697250833597,-0.05470094777870494,-0.2291579870520382
-0.3000899579724593,-0.0023339155632652385,0.20254192985725883,0.2664254252999499,-0.25783829527286894,0.1298858778947054,0.04666141154812649,-0.07371027309213991,0.004742587182976253,-0.020265531965343593,-0.07796724692876712,-0.2759620430765195
-0.3331080577053366,-0.0028205865680284805,0.22471104897792413,0.3377279240780845,-0.2853345998564163,0.16228068308763727,0.022801047470933148,-0.11093140234928732,0.0036239292628715922,-0.04772768092882136,-0.12151030611504243,-0.31864133770804925
-0.3361242888131573,-0.0035592344964982623,0.22638581358658244,0.3352512342350206,-0.2876977073566306,0.16045899008990164,-0.001333847393684215,-0.13072872849189723,0.006139555687982711,-0.06727150050419935,-0.15944927928084082,-0.34163500452595924
-0.3131105464848499,-0.001837636460346027,0.21163163264645105,0.2950635337917334,-0.26872083181487827,0.14342965715153755,-0.013816057987168983,-0.1330858516657051,0.0047060459192083594,-0.07067124522144379,-0.1805731853157479,-0.3430429924084799
-0.2777070231439463,0.0005984231798106801,0.18882712127182755,0.2573491056557937,-0.23958368283270065,0.12819936093335432,-0.014817988816920098,-0.12424629529461474,-0.0028078298342038414,-0.06393756747780943,-0.17829979777161709,-0.33443065247891995
-0.25303087059452173,-0.0023583778754926467,0.1705829026665333,0.2662000636784851,-0.21870745065265626,0.12976122758045963,-0.016326949658101456,-0.11660465385595606,-0.013161325347697763,-0.06696098531927352,-0.15062136305418797,-0.3405440955136495
-0.22684625818037313,-0.014721930673277142,0.1465664493026656,0.21545454003433043,-0.19522630961489013,0.09582366996083173,-0.011315069583125559,-0.10885801277362538,-0.004173025396653776,-0.05726669087217949,-0.10436105954180172,-0.35653479262760945
-0.19426576012052832,0.039138699121379114,0.15163570859296155,0.1486439622496595,-0.1773275013954367,0.11367826367875937,0.022903898649416297,-0.0987516939050258,0.00851825792372661,-0.03647730984257977,-0.07178027031383064,-0.29336109141245226
-0.16819400488476127,0.14055967874202238,0.18513031610501215,0.08676640187133992,-0.17762138987252424,0.1819311605573428,0.05329825812037988,-0.0903543213068489,0.019905002578387617,-0.02290272692722581,-0.047396724989535295,-0.19638878042994018
-0.15591351810273815,0.2511922199926128,0.23263698288116821,0.03329068235310633,-0.1957727802943778,0.26782692475336567,0.0621495652002797,-0.0834413458108369,0.029382770065138175,-0.015970835186106515,-0.026483570220771618,-0.12391719270715304
-0.1591905058842277,0.313391689711349,0.2662577130329219,-0.025201632706391582,-0.21875936180775074,0.3080118979122345,0.04675737399026808,-0.07360334752884551,0.04059882764122974,0.0032484981950971674,-0.0050252974663175486,-0.14668611210584878
